,reporting_date,total_cases,new_cases_today,total_tests,new_tests_today,total_deaths,new_deaths_today,OLD_deaths,total_recovered,new_recovered_today,intensive_care_right_now,emergency_calls,information_calls,persons_in_quarantine,persons_in_home_isolation,tests_for_case_definition,tests_upon_request,tests_done_before_today_and_reported_today,rapid_tests,infected_asymptomatic,infected_hospitalized,infected_positive_retests,persons_in_institutional_isolation,persons_in_home_quarantine,persons_in_institutional_quarantine,romania_population_2020
0,2022-11-21,3294446,215,13618262.0,865.0,67253.0,0.0,,,,93.0,,,,,645.0,220.0,,5762.0,,650.0,15.0,,,,19317984
1,2022-11-20,3294231,167,13617397.0,1227.0,67253.0,0.0,,,,95.0,,,,,601.0,626.0,,3889.0,,628.0,13.0,,,,19317984
2,2022-11-19,3294064,323,13616170.0,1743.0,67253.0,3.0,,,,93.0,,,,,1174.0,569.0,,7709.0,,613.0,19.0,,,,19317984
3,2022-11-18,3293741,396,13614427.0,1877.0,67250.0,1.0,,,,92.0,,,,,1263.0,614.0,,9474.0,,619.0,32.0,,,,19317984
4,2022-11-17,3293345,441,13612550.0,2469.0,67249.0,3.0,,,,91.0,,,,,1447.0,1022.0,,10590.0,,601.0,26.0,,,,19317984
5,2022-11-16,3292904,429,13610081.0,2439.0,67246.0,3.0,1.0,,,87.0,,,,,1550.0,889.0,,11280.0,,575.0,33.0,,,,19317984
6,2022-11-15,3292475,490,13607642.0,2806.0,67243.0,6.0,,,,92.0,,,,,1858.0,948.0,,13468.0,,669.0,33.0,,,,19317984
7,2022-11-14,3291985,256,13604836.0,959.0,67237.0,1.0,,,,104.0,,,,,651.0,308.0,,5497.0,,611.0,19.0,,,,19317984
8,2022-11-13,3291729,141,13603877.0,1233.0,67236.0,0.0,,,,101.0,,,,,572.0,661.0,,3615.0,,599.0,15.0,,,,19317984
9,2022-11-12,3291588,241,13602644.0,1767.0,67236.0,5.0,,,,100.0,,,,,1198.0,569.0,,7352.0,,589.0,24.0,,,,19317984
10,2022-11-11,3291347,361,13600877.0,1852.0,67231.0,7.0,1.0,,,103.0,,,,,1214.0,638.0,,9130.0,,609.0,33.0,,,,19317984
11,2022-11-10,3290986,423,13599025.0,2576.0,67224.0,4.0,,,,104.0,,,,,1522.0,1054.0,,10733.0,,608.0,28.0,,,,19317984
12,2022-11-09,3290563,534,13596449.0,2572.0,67220.0,3.0,,,,98.0,,,,,1712.0,860.0,,10602.0,,615.0,26.0,,,,19317984
13,2022-11-08,3290029,588,13593877.0,2840.0,67217.0,4.0,1.0,,,93.0,,,,,1840.0,1000.0,,13037.0,,621.0,49.0,,,,19317984
14,2022-11-07,3289441,258,13591037.0,1009.0,67213.0,0.0,,,,92.0,,,,,639.0,370.0,,5856.0,,648.0,26.0,,,,19317984
15,2022-11-06,3289183,180,13590028.0,1313.0,67213.0,2.0,1.0,,,90.0,,,,,624.0,689.0,,3689.0,,634.0,17.0,,,,19317984
16,2022-11-05,3289003,319,13588715.0,1906.0,67211.0,5.0,,,,88.0,,,,,1258.0,648.0,,7195.0,,618.0,34.0,,,,19317984
